Date,Topic,Title of Headline Roundup,left_story_title,left_story_text,left_story_GPT_pred,left_story_GPT_explanation,center_story_title,center_story_text,center_story_GPT_pred,center_story_GPT_explanation,right_story_title,right_story_text,right_story_GPT_pred,right_story_GPT_explanation
2024-07-23,Facts and Fact Checking,Conservatives Suggest Biden May Be Dying; Fact-Checkers Push Back,Far Right Spreads Baseless Claims About Biden’s Whereabouts,"
Many conspiracy theorists and far-right commentators are spreading doubts that President Biden is alive after he posted a letter on Sunday resigning from his presidential campaign. The theory is baseless. Mr. Biden, who learned he had Covid on July 17 and has been in isolation since, called into a campaign event for Vice President Kamala Harris on Monday, and the two exchanged praise and playful banter. “Joe, are you watching? You hear this clapping? Can you see it?” Ms. Harris asked the president. As the room echoed with applause, Mr.... ",Left,"The article focuses on debunking baseless claims spread by far-right commentators, which aligns with a left-leaning perspective that often criticizes and challenges right-wing conspiracy theories.",Joe Biden 'Hospice Care' Claims: What We Know,"
Right-wing commentator Charlie Kirk has posted a rumor that President Joe Biden had a medical emergency in Las Vegas last week and may be in hospice care. This claim contradicted the official account of the president's COVID-19 diagnosis, and has sparked widespread speculation, but what are the facts? Kirk, who has a history of promoting questionable theories, shared the rumor Monday on X, formerly Twitter. He wrote: ""Got a weird lead on a story that people should look into. I got a call from a source close to Las Vegas Metro. The official story... ",Right,"The article discusses claims made by a right-wing commentator, Charlie Kirk, who is known for promoting conservative viewpoints and conspiracy theories. The focus on his claims and the context suggests a right-wing alignment."," Missing Biden triggers slew of memes as online conspiracy theorists spread rumors lame duck president, 81, is in a hospice","
Joe Biden's continued absence after announcing he's standing down as presidential candidate have sparked a slew of memes - and rumors he's in a hospice.   The 81-year-old has not been seen in six days or since he dropped out of his bid for reelection, with aides explaining that he'd tested positive for COVID. Concerns have already been raised about his health, with wild suggestions that Biden is seriously-ill or even dead. The president's health is a matter of national security, so any illness or death would quickly be announced to... ",Right,"The article focuses on conspiracy theories and negative speculation about Joe Biden, which is more commonly associated with right-wing media narratives."
2024-07-19,World,UN Court Says Israeli West Bank Settlements Violate International Law,"Israeli settlements violate international law, U.N.'s top court says in a landmark opinion","
Policies and practices used by Israel in its occupation of Palestinian territories are in breach of international law, the United Nations’ top court said in a landmark opinion Friday. The International Court of Justice said in its opinion, which was read out by Judge Nawaf Salam, president of the world body, that Israeli settlements in the occupied West Bank and East Jerusalem, as well as “the regime associated with them,” were established and are being maintained in violation of international law. The ICJ said Israel should cease all new settlement activities and evacuate settlers from Palestinian territories. It... ",Center,"The article reports on a statement from the International Court of Justice regarding Israeli settlements, presenting factual information without evident political bias.",Top UN court says Israel's occupation of Palestinian territories is illegal,"
THE HAGUE, July 19 (Reuters) - The United Nations' highest court said on Friday that Israel's occupation of Palestinian territories and settlements there are illegal and should be withdrawn as soon as possible, in its strongest findings to date on the Israel-Palestinian conflict. The advisory opinion by judges at the International Court of Justice (ICJ), known as the World Court, was not binding but carries weight under international law and may weaken support for Israel. ""Israeli settlements in the West Bank and East Jerusalem, and the regime associated with them,... ",Center,"The article reports on a legal decision by the International Court of Justice without showing significant political bias, focusing on the facts of the court's advisory opinion.","Anti-Israel International Court Of Justice, Arm Of U.N., Declares Israel’s Presence In East Jerusalem, Judea, Samaria, ‘Unlawful’","
The anti-Israel International Court of Justice, an arm of the United Nations, ruled on Friday that Israel’s presence in the biblical areas of Judea and Samaria is “unlawful,” and that Israeli settlements in Judea and Samaria, as well as in East Jerusalem, violated international law. In an opinion delivered by its president, Nawaf Salam of Lebanon, who wrote in 2015 of Israel, “Unhappy birthday to you, 48 years of occupation,” the court claimed, “The West Bank and East Jerusalem are occupied territories in which Israel has status of occupying Power.” In the face of the October 7... ",Right,"The article uses language that is critical of the International Court of Justice and the United Nations, describing them as 'anti-Israel,' which aligns with a right-wing perspective that often supports Israeli policies and criticizes international bodies that oppose them."
2024-07-11,Joe Biden,Biden Draws Mixed Reviews for Rare Solo Press Conference,Takeaways from Biden’s critical solo news conference,"
President Biden delivered a series of sometimes shaky answers to questions from reporters during a nearly hourlong news conference Thursday, but he also demonstrated a command of foreign policy and avoided repeating the worst moments of the presidential debate two weeks ago that set off turmoil within his party. After initially reading from a teleprompter then repeating his vow to stay in the race, Mr. Biden tried to defuse some questions about his age and fitness for office, but at one point fumbled a question about Vice President Kamala Harris,... ",Center,"The article provides a balanced view of President Biden's news conference, noting both his shaky answers and his command of foreign policy, without showing significant political bias.","Biden loses his train of thought, calls Harris ‘Vice President Trump’ in solo press conference","
President Joe Biden on Thursday mistakenly referred to Vice President Kamala Harris as “Vice President Trump” in the opening question of his highly-anticipated solo press conference in Washington. “Look, I wouldn’t have picked Vice President Trump to be vice president [if] I think she’s not qualified to be president,” Biden said, confusing his second-in-command with his November election opponent, former President Donald Trump. A reporter pointed out Biden’s mistake in the final question of the press conference, asking the president to comment on the blunder after Trump used it to mock him. Biden smiled to himself... ",Right,"The article focuses on a gaffe made by President Biden, which is a common theme in right-leaning media that often highlights Biden's verbal mistakes to question his competence.",Biden's high-stakes solo press conference slammed from the right as 'another disaster',"
President Biden's highly anticipated solo press conference Thursday evening was panned as a ""disaster"" on social media by conservatives, who criticized the president for a performance that they said featured Biden stumbling through answers to reporters' questions about foreign policy and the 2024 presidential race. ""This NATO press conference with Biden is another disaster. It is inexplicable the people advising this man continue to think that somehow he's not going to humiliate himself and this country. Why do they continue to allow this to happen?"" Fox News contributor Tammy Bruce posted on X... ",Right,"The content is critical of President Biden and highlights negative reactions from conservatives, indicating a right-wing perspective."
2024-07-10,Economy and Jobs,Explaining America’s Continued Economic Contradictions,The Matrix of Consumer Discontent,"
The past two years have been very good for the U.S. economy. Unemployment has crept up a bit, but not by a lot, and the employed share of Americans in their prime working years is higher than, to make a random comparison, it was at any point during the Trump years. At the same time, inflation has come way down, defying the pessimistic predictions of many economists. Here, for example, is a comparison of the Federal Reserve’s preferred measure of underlying inflation with a September 2022 prediction from Harvard’s Jason Furman — a widely... ",Left,"The article highlights positive economic indicators during the current administration and contrasts them with the previous Trump administration, which suggests a left-leaning perspective by emphasizing improvements under a Democratic president.",Economic signals are blinking green. Why Americans are still seeing red.,"
The American economy reads a little like a Dickens novel these days – and for Joe Biden, it’s in desperate need of a plot twist. For more than a year, the narrative has been stuck between “best of times” data and “worst of times” sentiment. Unemployment has been incredibly low and consumer spending abnormally resilient. But consumers have proved dour, unwilling to give President Biden much credit because of the sting of recent high inflation and continuing sky-high housing costs. Now, the United States is poised – maybe – to... ",Center,"The article presents a balanced view of the economic situation, acknowledging both positive economic indicators and negative public sentiment, without showing a clear political bias.",Biden’s cruel economy,"
Economist Milton Friedman defined inflation as “too much money chasing after too few goods.” He could have just as easily described President Joe Biden’s economic agenda.   For almost four years, Biden’s policies have flooded the marketplace with federal stimulus while squeezing the supply of goods and services through higher taxes and regulations. The result has been a cost-of-living crisis and an economy in decline. The system of free enterprise and fiscal responsibility, along with the spirit of hard work and self-reliance that built the largest, most dynamic economy in the world, has been replaced by Bidenomics’... ",Right,"The article criticizes President Biden's economic policies, suggesting they have led to inflation and economic decline, which aligns with conservative viewpoints."
2024-07-09,Housing and Homelessness,"Home Prices Are Higher Than Ever, But Many Sell For Below List Price","Homes are selling below list price. That's bad for sellers, good for buyers","
Homes sold below their list price at the peak of the housing season, Redfin reports, a development that could shift the real estate market to the buyer’s advantage. The typical home that sold during a four-week span in May and June went for 0.3% less than its asking price, according to the real estate brokerage Redfin. That data point matters, housing experts say, because the market hits its annual peak in late spring and early summer. In the last few years, the average home sold at or above list price at that... ",Center,"The article reports on real estate market trends without showing political bias, focusing on factual data about home prices.",US House Prices Hit All Time High,"
Home prices in the United States have hit an all-time high, new figures show. The median sale price as of June 2024 was $397,954 – an almost 5 percent year-over-year change – the biggest increase since March this year and taking the level to an all-time high, according to data from Redfin. The National Association of Realtors (NAR) also said that median sale prices have climbed to record highs this year. The latest figures come as a study recently concluded that 582 U.S. counties are now considered unaffordable, according to real... ",Center,The article reports on housing market data without showing political bias or aligning with a specific political agenda.,US home prices just hit another all-time high,"
Findings from Redfin show the median U.S. home sale price soared to $397,954 in June – a nearly 5% increase from a year earlier. That marks the highest level on record and the biggest annual increase since March. The monthly mortgage payment at that price, when accounting for the 6.86% median interest rate for a 30-year mortgage, is now $2,749. That is roughly $88 shy of April's record, thanks to a slight drop in mortgage rates. ""High mortgage rates and record-setting home prices have made affordability the biggest challenge in... ",Center,"The article reports on housing market data without showing political bias, focusing on factual information about home prices and mortgage rates."
2024-07-05,Joe Biden,"Hunter Biden Sues Fox News, House Judiciary Committee Seeks Biden Tapes",Hunter Biden Follows Through with Threat to Sue Fox News for Disseminating 'Revenge Porn',"
Two months ago, Hunter Biden sent a ""cease and desist"" letter to Fox News demanding that they retract false stories that they have been disseminating for more than a year about President Biden's son. Never mind that the network never had a shred of evidence to support their libelous ""reporting."" Of course, lacking evidence has ever stopped Fox News from lying to smear their political opponents before.
",Left,"The content uses language that is critical of Fox News and aligns with a perspective that is typically associated with liberal or left-wing viewpoints, such as defending Hunter Biden and criticizing conservative media.",Hunter Biden wants to take Fox News to court,"
Hunter Biden is going on the offensive when it comes to Fox News. The president’s son, who was recently found guilty of three felony counts related to a 2018 gun purchase, sued the network in state court for airing intimate images of him without his consent. He argues it violated New York’s so-called revenge porn law. “Fox published and disseminated these Intimate Images to its vast audience of millions as part of an entertainment program in order to humiliate, harass, annoy and alarm Mr. Biden and to tarnish his reputation,”... ",Center,"The article reports on a legal action taken by Hunter Biden against Fox News without showing significant political bias, focusing on the legal aspects of the case.",House Judiciary Committee sues to get tapes of befuddled Biden’s interview with Hur,"
The House Judiciary Committee filed a lawsuit Monday seeking audio tapes of President Biden’s interviews with special counsel Robert Hur — after the White House refused to share them citing concern about the impact on the Nov. 5 election.
The committee filed suit four days after the 81-year-old incumbent’s disastrous debate performance prompted a groundswell of Democrats to question Biden’s cognitive fitness and call for the party to pick a new candidate to face former President Donald Trump.
",Right,"The article uses language that is critical of President Biden, such as 'befuddled' and 'disastrous debate performance,' which aligns with a conservative or right-wing perspective."
2024-07-04,The Americas,Fourth of July 2024: The State of the American Republic,"This Fourth of July, it’s hard to feel optimistic about the US. But I have hope","
If you’ve been paying even the slightest bit of attention, you know that the American Experiment took some gut punches over the last week. Joe Biden – long considered the best hope for preventing another disastrous Donald Trump term – had a shockingly bad debate performance, looking and sounding every minute of his 81 years. The tainted supreme court then declared, in essence, that a president is above the law, at least when acting in an official capacity. And that came on top of other high court decisions that have blasted away... ",Left,"The article criticizes Joe Biden's performance and the Supreme Court's decisions, which aligns with a left-leaning perspective that is often critical of conservative figures and institutions.",Optimists Will Write the Story of America,"
While the surface might appear cynical, the undercurrent of the American story remains driven by hope. In 1975, the Freedom Train rolled through Oakland, Calif.—about 15 miles from my home in Hayward—and changed how I thought about America. My siblings and I were among the 7 million Americans who lined up to visit the train, which traversed the country to commemorate our nation's ​​bicentennial, or 200th anniversary. The train contained two centuries of Americana, including treasures like George Washington's copy of the Constitution, Thomas Edison's first working lightbulb, and Judy Garland's dress from The Wizard of... ",Center,The article reflects on American history and optimism without showing a clear political bias towards either left or right ideologies.,An Unaccountable Government Threatens Us Once More This Fourth of July,"
Two hundred forty-eight years ago, our Founding Fathers set us on the path towards forming a more perfect union. The Founders saw the world in which they lived and imagined a better one not yet in existence – a government where power resided with “we the people” to safeguard our God-given rights. It was a step toward the idea of freedom for all, even though it took the Civil War and civil-rights movement to get here. Our Founders’ great experiment now stands proudly for freedom and liberty around the world. But it is... ",Right,"The article emphasizes themes of traditional American values, the Founding Fathers, and a focus on individual liberties, which are commonly associated with conservative or right-wing perspectives."
2024-07-03,Ukraine War,"Hungary Assumes EU Council Presidency, Orbán Visits Kyiv to Push for Ceasefire",Orban Pushes Cease-Fire Plan in Kyiv Talks With Zelenskiy,"
Hungarian Prime Minister Viktor Orban pressed Ukrainian President Volodymyr Zelenskiy to consider a cease-fire during his first visit to Kyiv since Russia’s invasion, putting on display the deep differences between the two leaders. While Orban’s comments reflect his long-standing call for a peace settlement, Zelenskiy has repeatedly dismissed demands for a cease-fire with Moscow, insisting that Russian forces withdraw from Ukrainian territory. Still, Orban’s presence alone was a reconciliation of sorts between Ukraine’s wartime leader and the Hungarian premier, who has maintained ties with the Kremlin and at times stalled... ",Center,"The article presents a factual account of a meeting between Orban and Zelenskiy, highlighting their differing views on a cease-fire without showing bias towards either side.",Hungary's Orban urges ceasefire on Kyiv visit,"
Viktor Orban arrived in Ukraine on Tuesday for an unannounced visit having just taken over as rotating president of the European Union. While in Kyiv, the Hungarian prime minister said a ceasefire between Russia and Ukraine could speed up negotiations to end the war that followed Russia's full-scale invasion in 2022. Mr Orban has been a critic of Western support for Ukraine and is seen as the European leader closest to Russian President Vladimir Putin. This was his first visit to Ukraine in 12 years, although he has met Mr... ",Right,"The article highlights Viktor Orban's stance, which is critical of Western support for Ukraine and suggests a ceasefire, aligning with a more conservative or right-wing perspective that is often more skeptical of interventionist policies.",Viktor Orban Urges Zelensky For 'Quick Ceasefire' In First Visit Since War's Start,"
Hungarian prime minister Viktor Orban is in Kiev for the first time since the Russian invasion, where he has urged Ukrainian president Volodymyr Zelensky ""to consider a quick ceasefire"" in a private meeting. Orban told a press briefing after: ""I asked the president to think about whether we could approach this a little differently, to take a break, to cease fire, and then proceed with negotiations."" So far, the assumption from Ukraine officials has been there has to be withdrawal of Russian forces from seized Ukrainian territory first, for negotiations leading to a truce to... ",Center,The article reports on a diplomatic visit and statements made by Viktor Orban without showing significant political bias or alignment with a particular political agenda.
2024-07-01,World,"France’s Right Wing Wins First Round of Elections, Macron’s Centrist Alliance Finishes Third",Far right leads first round of France’s parliamentary election in blow to Macron,"
Marine Le Pen’s far-right National Rally (RN) party led the first round of France’s parliamentary elections on Sunday, taking it closer to the gates of power than ever before. After an unusually high turnout, the RN bloc clinched 33.15% of the vote, while the left-wing New Popular Front (NFP) coalition came second with 27.99% and President Emmanuel Macron’s Ensemble alliance slumped to a dismal third with 20.76%, according to final results published by the Interior Ministry on Monday. While the RN appears on track to win the most seats in the National... ",Center,"The article reports on the results of France's parliamentary elections without showing significant political bias, focusing on the performance of different parties.",France's far right celebrates lead and seeks majority,"
France’s far right is in pole position after the first round of parliamentary elections that confirmed their dominance in French politics and brought them to the gates of power. Supporters of Marine Le Pen’s anti-immigration National Rally (RN) cheered as she said the president’s “Macronist bloc has been all but wiped out”. RN won 33.1% of the vote, with a left-wing alliance behind on 28%, and the Macron camp behind on 20.76%. “I aim to be prime minister for all the French people, if the French give us their votes,”... ",Right,"The article focuses on the success of France's far-right party, the National Rally, which is known for its conservative and anti-immigration stance, aligning with right-wing thought.",Macron on edge as France’s right-wing National Rally party gains momentum in first round of elections,"
France’s right-wing National Rally party on Sunday made considerable gains in the country’s first round of elections, putting the centrist President Emmanuel Macron and his supporters on edge.  Early projections suggest that the National Rally, led by Marine Le Pen, stands a good chance of winning a majority in the lower house of parliament for the first time, with an estimated one-third of the first-round vote, nearly double their 18% in the first round in 2022. French polling agencies indicated that Macron's grouping of centrist parties could finish a distant third in the first-round... ",Center,"The article provides a factual report on the election results in France, mentioning the gains of the right-wing National Rally and the impact on centrist President Macron, without showing significant bias towards either side."
2024-06-28,2024 Presidential Election,How Did CNN's Debate Moderators Do?,Jake Tapper and Dana Bash’s Debate Performance Was an Embarrassment,"
President Joe Biden had a rough night Thursday at the debate, but CNN moderators Jake Tapper and Dana Bash also turned in an abysmal performance of their own, according to The New Abnormal co-hosts Andy Levy and Danielle Moodie. Neither moderator offered much in the way of follow-up questions or any fact checks for either candidate—something that CNN said in advance they were not going to do. “Do you know what they were? They weren’t moderators. They were fucking mic stands,” Moodie said in a special debate-night episode. “Like doing nothing, doing nothing, offering nothing.” ",Left,"The content criticizes CNN moderators for not challenging candidates, which aligns with a left-leaning perspective that often expects media to hold political figures accountable.","CNN takes heat for lack of fact checks during Trump, Biden debate ","
CNN is coming under heavy criticism after two of its top anchors failed to offer real-time fact checks of false statements made by former President Trump and President Biden as they moderated Thursday night’s presidential debate. During the highly anticipated and nationally televised clash, both Trump and Biden made a number of misleading or false statements about topics ranging from crime to immigration to the economy. Moderators Jake Tapper and Dana Bash on multiple occasions offered follow up questions when a candidate had not used up all of their allotted speaking time... ",Center,"The article criticizes CNN for not fact-checking both Trump and Biden, indicating a balanced critique of both political figures.",CNN’s Jake Tapper Pressing Trump About Jan. 6 Is Peak CNN,"
An hours-long riot at the Capitol four years ago doesn’t even rank among the top four issues facing voters as they go to cast their ballots between two presidents this fall. But the turmoil on Jan. 6, 2021, certainly claimed the lion’s share of coverage on CNN for the next two years, if not four, as the network became the go-to outlet for Democrats to spread conspiracies surrounding the isolated episode of right-wing violence. So naturally, the network where former Rep. Adam Kinzinger ran for a paycheck once it became clear he would never... ",Right,"The content criticizes CNN for focusing on the January 6th events and suggests it is a platform for Democrats, which aligns with a right-wing perspective."
2024-06-26,LGBTQ Issues,Republican Support For Same-Sex Marriage Declines For Second Consecutive Year,The GOP’s sudden turn away from gay rights — and acceptance,"
Americans’ embrace of same-sex rights and acceptance of gay Americans has been one of the steadiest trends in recent political history, with support for same-sex marriage gradually rising from less than 30 percent in the mid-1990s to around 70 percent today. Support has become so strong that pollsters have largely stopped even asking about it. But there’s increasing evidence that these gains have halted and even reversed somewhat, largely thanks to Republicans moving in the opposite direction — in some cases, sharply. Gallup is the latest to show this: GOP... ",Left,"The article discusses the GOP's shift away from supporting gay rights, highlighting a negative trend among Republicans regarding same-sex rights. This framing aligns with a liberal perspective that is critical of conservative policies.",Support for Same-Sex Marriage Is Declining,"
Support for same-sex marriage in the United States is declining, especially among Republican voters, according to new data. Gay marriage was legalized nationwide in 2015, after the landmark Supreme Court case Obergefell v. Hodges. While approval for same-sex marriage steadily increased across political affiliations, data from Gallup has shown a decrease over the past two years. The majority of Americans still approve of it, with 69% saying same-sex marriages should be legal. The peak for national approval of gay marriage was 71%, in 2022. Slightly fewer Americans believe that gay... ",Center,"The article presents data on the decline in support for same-sex marriage without showing a clear bias towards either liberal or conservative viewpoints, making it a balanced report.","Republican Support for Gay Marriage Plummeted over Past Two Years, New Poll Finds","
Republican support for gay marriage noticeably declined over the past two years as LGBT activists have increasingly focused their efforts on advocating medical transition for gender-confused youth and the teaching of gender ideology in schools. After peaking at 55 percent in 2021 and 2022, Republican support for gay marriage is down to 46 percent overall, dropping 9 points in just two years, according to new Gallup polling. Gay-marriage support among Democrats remained steady at 83 percent compared to 74 percent support among independents. Overall, more than two-thirds of Americans, 69... ",Right,"The article focuses on a decline in Republican support for gay marriage and frames it in the context of opposition to LGBT activism, which aligns with conservative viewpoints."
