Date,Topic,Title of Headline Roundup,url_story,left_story_title,left_story_url,left_story_source,left_story_leaning,left_story_text,center_story_title,center_story_url,center_story_source,center_story_leaning,center_story_text,right_story_title,right_story_url,right_story_source,right_story_leaning,right_story_text
2024-07-01,Justice,Steve Bannon Begins Prison Sentence for Defying Subpoena,/story/justice-steve-bannon-begins-prison-sentence-defying-subpoena,Steve Bannon continues sowing doubts about the 2024 election as he heads to prison,https://www.nbcnews.com/politics/donald-trump/steve-bannon-sows-doubts-2024-election-before-prison-rcna159691,NBC News Digital,Lean Left,"
Steve Bannon, a top ally of former President Donald Trump, reported to prison in Danbury, Conn., on Monday to begin a four-month sentence for refusing to comply with congressional subpoenas — a term he sought to paint as a political prosecution. Bannon spoke to reporters outside the prison before entering the prison grounds at noon. “I am proud to go to prison. If this is what it takes to stand up to tyranny, if this is what it takes to stand up to the Garland corrupt criminal DOJ, if this... ",What Steve Bannon's Prison Sentence Will Look Like,https://www.newsweek.com/steve-bannon-donald-trump-federal-prison-connecticut-contempt-congress-1919703,Newsweek,Center,"
Conservative podcaster Steve Bannon is due to begin his federal prison sentence on Monday, in what promises to be a turbulent few months for the former Trump advisor. 70-year-old Bannon will begin his sentence in Connecticut but could end up facing more jail time in New York. Here are some key questions about his sentencing: Why Is Bannon Going To Prison? Bannon, a former Donald Trump White House chief strategist, was sentenced to four months in October 2022 after he was found guilty of two counts of contempt of Congress. Why Contempt Of Congress? Despite... ",Steve Bannon Reports to Prison to Begin Four-Month Sentence: ‘I Am a Political Prisoner’,https://www.breitbart.com/politics/2024/07/01/steve-bannon-reports-prison-begin-four-month-sentence/,Breitbart News,Right,"
Former President Donald Trump adviser Stephen K. Bannon reported to federal prison on Monday to begin his four-month prison sentence after being held in contempt of Congress for defying a subpoena from the January 6 Select Committee.
Bannon, the host of the War Room podcast, reported to the Federal Correctional Institution in Danbury, Connecticut, around noon, according to CBS News.
"
2024-06-27,2024 Presidential Election,"Biden's Debate Performance Against Trump Raises Concerns Over Age, Fitness",/story/2024-presidential-election-bidens-debate-performance-against-trump-raises-concerns-over-age,Babbling' and 'hoarse': Biden's debate performance sends Democrats into a panic,https://www.nbcnews.com/politics/2024-election/biden-debate-performance-democrats-panic-rcna157279,NBC News Digital,Lean Left,"
President Joe Biden was supposed to put the nation’s mind at ease over his physical and mental capacity with his debate showing Thursday night.  But from the onset of the debate, the 81-year-old struggled seemingly even to talk, mostly summoning a weak, raspy voice. In the opening minutes, the president repeatedly tripped over his words, misspoke and lost his train of thought.   In one of the most notable moments, Biden ended a rambling statement that lacked focus by saying, “We finally beat Medicare,” before moderators cut him off and transitioned... ",Biden Struggles to Allay Concerns Over Age,https://www.wsj.com/livecoverage/biden-trump-first-presidential-debate-2024-election/card/biden-struggles-to-allay-worries-about-his-age-in-debate-O4YAFdGBCwuqILOh6lwV,Wall Street Journal (News),Center,"
President Biden, 81 years old, was hoping to convince Americans that concerns about his age are greatly overstated. So far, his performance isn’t succeeding in making a great case. Biden sounds hoarse and at times was hard to understand—“Is Biden sick” was trending online—and he noticeably lost his train of thought while discussing inflation and healthcare. Later, after Biden made comments about the border, Trump retorted: ""I really don't know what he said at the end of their sentence. I don't think he knows what he said either."" Opinion polls... ",Debate viewers criticize Biden’s coughing and hoarse voice,https://www.washingtonexaminer.com/news/campaigns/presidential/3062636/debate-viewers-criticize-bidens-coughing-and-hoarse-voice/,Washington Examiner,Lean Right,"
The first general election debate of the 2024 season commenced Thursday evening in Atlanta between President Joe Biden and former President Donald Trump, but viewers were surprised to hear the president struggle to speak with a hoarse voice and several coughs within the opening minutes of the debate. Pollster Frank Luntz shared how his focus group was “surprised” by the president’s voice. “My focus group of undecided voters is surprised and concerned about Biden’s voice. This doesn’t bode well for questions about his health,” Luntz wrote on X, the platform... "
2024-06-17,2024 Presidential Election,Biden Team Launches $50M Ad Campaign Labeling Trump a ‘Convicted Criminal’,/story/2024-presidential-election-biden-team-launches-50m-ad-campaign-labeling-trump-convicted,Biden’s campaign announces a $50 million advertising blitz highlighting Trump’s conviction,https://apnews.com/article/biden-trump-ad-campaign-criminal-conviction-bab63848426b8eb2134bb144dbb4d05b,Associated Press,Lean Left,"
President Joe Biden’s reelection campaign is spending $50 million through the end of June, a blitz that includes its first television ad trumpeting Donald Trump’s felony conviction and signals that the Democratic incumbent is seeking to make his Republican opponent’s legal woes a bigger issue heading into November. The advertising push comes with Election Day still months away. But Biden’s campaign says it wants to more clearly define the choice between the candidates ahead of the first debate between them in Atlanta on June 27. The ad campaign includes more than $1 million geared toward media... ",New $50 million Biden ad campaign targets Trump felony convictions,https://www.reuters.com/world/us/new-50-million-biden-ad-campaign-targets-trump-felony-convictions-2024-06-17/,Reuters,Center,"
President Joe Biden's campaign will target Republican challenger Donald Trump's felony convictions as part of a $50 million ad campaign ahead of the first presidential debate between both candidates on June 27. The move marks a notable shift in Biden's approach to Trump's conviction after the president's initial reluctance to weigh in on the issue, to avoid engaging with Trump's legal woes. ""Character Matters,"" a 30-second ad that says ""this election is between a convicted criminal who's only out for himself, and a president who's fighting for your family,"" drawing... ",Biden campaign targets 'convicted felon' Trump with $50M media buy ahead of 1st debate,https://www.foxnews.com/politics/biden-campaign-targets-convicted-felon-trump-50m-media-buy-ahead-first-debate,Fox News Digital,Right,"
The Biden campaign released a new ad Monday morning as part of a $50 million ad blitz ahead of the first presidential debate later this month, highlighting former President Trump's conviction, and saying ""character"" is the central dynamic of the 2024 presidential race.  The new ad, titled ""Character Matters,"" highlights the verdict in New York v. Trump, when a jury found the former president and presumptive Republican nominee guilty on all 34 counts of falsifying business records in the first degree. Trump pleaded not guilty to the charges and has vowed to appeal the... "
2024-05-30,Joe Biden,Biden Administration Allocates $900 Million For Green School Buses,/story/joe-biden-biden-administration-allocates-900-million-green-school-buses,Biden administration awarding nearly $1 billion for green school buses,https://www.cbsnews.com/news/clean-school-buses-biden-white-house/,CBS News (Online),Lean Left,"
The Biden administration is sending $900 million in rebates to 530 school districts across the country to replace diesel buses with electric school buses.  The administration says the rebates will help buy more than 3,400 such buses, 92% of which will be electric. It's something the Environmental Protection Agency claims will combat asthma and speed up the move to zero emission vehicles. So far, the EPA has awarded close to $3 billion for 8,500 school bus replacements.  ""President Biden believes every child deserves the opportunity to lead a healthy life... ",Biden administration awarding $900M for green school buses,https://thehill.com/homenews/administration/4693888-biden-administration-awarding-900m-green-school-buses/,The Hill,Center,"
The Biden administration announced Thursday it will award nearly $900 million for clean energy school buses to hundreds of school districts across the country. Through the Environmental Protection Agency’s (EPA) 2023 Clean School Bus Program rebate competition, the agency selected more than 500 school districts to receiving the funding to replace diesel fueled school buses. The funding will also allow schools to purchase more than 3,400 new clean school buses, 92 percent of which will be electric. The initiative is focused on reducing greenhouse gas emissions and protecting children’s health... ",Biden admin prioritizes $900 million for green school buses as illiteracy plagues US schools,https://www.foxnews.com/us/biden-admin-prioritizes-900-million-green-school-buses-illiteracy-plagues-us-schools,Fox News Digital,Right,"
The Biden administration is dispersing nearly $900 million dollars in federal grants for school districts nationwide to decarbonize their bus fleets, despite child illiteracy continuing to plague children in the U.S. education system. On Wednesday, the White House unveiled nearly $900 million in awards to 530 school districts to replace thousands of aging, gas-fueled school buses with ""cleaner"" electric models. The U.S. Environmental Protection Agency’s 2023 Clean School Bus Program rebate competition helps school districts purchase over 3,400 clean school buses, with 92% of them being electric, aiding the Biden... "
2024-02-01,Politics,Judge Dismisses Disney's Lawsuit Accusing DeSantis of Government Retaliation,/story/politics-judge-dismisses-disneys-lawsuit-accusing-desantis-government-retaliation,Disney Appeals Dismissal of Free-Speech Suit Against DeSantis,https://www.bloomberg.com/news/articles/2024-02-01/disney-appeals-dismissal-of-free-speech-suit-against-desantis-ls3ke452,Bloomberg,Lean Left,"
Walt Disney Co. filed notice that it was appealing a federal judge’s order that dismissed its lawsuit accusing Florida Governor Ron DeSantis of political retaliation. US District Judge Allen Winsor in Tallahassee, Florida, on Wednesday granted DeSantis’ request to throw out the company’s suit, saying Disney lacked standing to sue the governor. Winsor also said a law stripping the company of control of the municipal district in central Florida that includes Disney World was constitutional even if it was aimed at punishing free speech. The ruling is a major setback... ",Judge dismisses Disney’s lawsuit alleging retaliation by Florida Gov. Ron DeSantis,https://www.cnbc.com/2024/01/31/judge-dismisses-disney-lawsuit-against-florida-gov-ron-desantis-alleging-retaliation.html,CNBC,Center,"
A judge on Wednesday dismissed a federal lawsuit Disney filed against Florida Gov. Ron DeSantis and other defendants that alleged they retaliated against the company for publicly criticizing a controversial parental rights education law backed by the governor. Judge Allen Winsor ruled that Disney lacked legal standing to sue DeSantis and the secretary of Florida’s Commerce Department on a claim of violating its First Amendment rights. Winsor also ruled that Disney’s claims “fail on the merits” against members of the board of a special improvement district in which the company... ",Federal Judge Tosses Out Disney Lawsuit Accusing Governor DeSantis of ‘Government Retaliation’,https://www.nationalreview.com/news/federal-judge-tosses-out-disney-lawsuit-accusing-governor-desantis-of-government-retaliation/?utm_source=recirc-desktop&utm_medium=article&utm_campaign=river&utm_content=more-in-tag&utm_term=first,National Review (News),Lean Right,"
A federal judge dismissed Disney’s lawsuit against Florida governor Ron DeSantis and members of a state tourism board for alleged “government retaliation,” after the company publicly excoriated DeSantis’s Parental Rights in Education Act — dubbed by its opponents as the “Don’t Say Gay” law. DeSantis and other defendants had urged U.S. District Judge Allen Winsor — a Trump-nominated judge in Tallahassee — to dismiss the case because Disney could not sue the government over constitutionally enacted state laws. “Disney lacks standing to sue the Governor or the Secretary,” the judge... "
2024-01-30,Middle East,Will the Jordan Drone Strike Pull the US Into War?,/story/middle-east-will-jordan-drone-strike-pull-us-war,Biden has to deal with a second war he didn’t want. His task is to contain it,https://www.cnn.com/2024/01/30/politics/biden-middle-east-war-analysis/index.html,CNN Digital,Lean Left,"
US policy in the Middle East can no longer be described as an attempt to stop the Israel-Gaza conflict from triggering a bigger regional war. That hope died weeks ago. The critical task now for President Joe Biden — as he mulls retaliation over the deaths of three Americans in an attack by suspected Iranian proxy forces in Jordan Sunday – is to prevent that region-wide war from tipping out of control. It is indisputable that the United States is again embroiled in a war in the wider Middle East, less than three years after Biden... ",Biden Military Draft Rumors Swirl After Iran Attacks,https://www.newsweek.com/biden-military-draft-rumors-swirl-after-iran-attacks-1865063,Newsweek,Center,"
Some social media users have speculated that President Joe Biden may be calling for a military draft after three U.S. troops were killed by Iran-backed militants in Jordan. Since the October 7 attack on Israel led by Hamas militants, tensions in the Middle East have remained high, with the U.S. showing strong support for Israel. The U.S. military has responded to several other attacks in the Red Sea by Houthi rebels. U.S. Central Command previously confirmed that it had seized a shipment of illegal weapons that were being sent to the Houthis from Iran. Over the past... ",The Middle East war Biden tried to avoid may be thrust upon him,https://www.washingtontimes.com/news/2024/jan/29/middle-east-war-joe-biden-tried-to-avoid-may-have-/,Washington Times,Lean Right,"
President Biden insists he doesn’t want a war with Iran. The reality is that America may already be in one. Top administration officials on Monday vowed to retaliate against the Iran-backed Shiite militias thought to be responsible for a weekend drone attack in Jordan that killed three U.S. troops and wounded dozens more. It was just the latest in a long line of attacks — more than 150, by most counts — by Iran-linked groups on American and allied personnel and interests in the Middle East since Oct. 7, when the Palestinian militant group Hamas launched a... "
2024-01-18,Politics,"Biden and Congressional Leaders Meet on Immigration, Foreign Aid",/story/politics-biden-and-congressional-leaders-meet-immigration-foreign-aid,Biden and lawmakers seek path forward on Ukraine aid and immigration at White House meeting,https://www.cbsnews.com/news/biden-congress-white-house-meeting-national-security-bill-border-ukraine/,CBS News (Online),Lean Left,"
President Biden met with congressional leaders on Wednesday afternoon as a monthslong dispute over border security and aid for Ukraine made its way to the White House. The high-stakes meeting involving congressional leaders, key committee chairs, ranking members and national security officials focused on supplemental funding for Ukraine, as well as enhanced border security measures and immigration policy changes, lawmakers said after the meeting.  ""I am more optimistic than ever before that we come to an agreement,"" Senate Majority Leader Chuck Schumer, a New York Democrat, told reporters.  For months, the supplemental... ","Biden Accedes to Tougher Immigration Policy to Deflect Criticism, Secure Ukraine Aid",https://www.wsj.com/politics/national-security/biden-accedes-to-tougher-immigration-policy-to-deflect-criticism-secure-ukraine-aid-08822c6e?mod=hp_lead_pos1,Wall Street Journal (News),Center,"
An immigration deal being crafted in the Senate would limit migrants’ ability to claim asylum at the southern border, a White House concession some progressives say shows that President Biden’s leftward shift on immigration as a 2020 candidate was a blip in his long political career. The deal, which would come in return for new war aid for Ukraine and Israel, is already facing steep odds on Capitol Hill with House Republicans making tougher demands. “We have talked about the necessary elements to solve this problem,” House Speaker Mike Johnson (R., La.) said after a meeting with Biden on Wednesday... ",Johnson signals path for Ukraine aid following White House congressional meeting,https://www.washingtonexaminer.com/news/white-house/2802829/johnson-signals-path-for-ukraine-aid-following-white-house-congressional-meeting/,Washington Examiner,Lean Right,"
Congressional leaders from both parties voiced optimism Wednesday about reaching a deal on Ukraine aid and securing the southern border following President Joe Biden’s meeting with the “Big Four” at the White House, with House Speaker Mike Johnson (R-LA) indicating there may be a path forward on a deal. Biden met with Johnson, Senate Majority Leader Chuck Schumer (D-NY), House Minority Leader Hakeem Jeffries (D-NY), Senate Minority Leader Mitch McConnell (R-KY), and a host of other lawmakers on Wednesday as negotiators continue to try to reach a deal on Biden’s supplemental request and a government funding bill ahead of the... "
2023-12-15,Middle East,IDF Mistakenly Kills 3 Hamas Hostages,/story/middle-east-idf-mistakenly-kills-3-hamas-hostages,Israeli military accidentally shoots and kills 3 Israelis held hostage in Gaza,https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-15-23/h_2ca5695cadd79306c468d543d4361399,CNN Digital,Lean Left,"
The Israel Defense Forces says that three Israeli hostages in Gaza were mistakenly identified as a threat and shot dead. “During combat in Shejaiya (in northern Gaza), the IDF mistakenly identified three Israeli hostages as a threat. As a result, the troops fired toward them and they were killed,” IDF spokesperson Daniel Hagari said at a briefing Friday. “During searches and checks in the area in which the incident occurred, a suspicion arose over the identities of the deceased. Their bodies were transferred to Israeli territory for examination, after which... ",IDF mistakenly kills three hostages in Gaza,https://www.jpost.com/breaking-news/article-778217,The Jerusalem Post,Center,"
IDF troops killed three hostages taken by Hamas after mistaking them for terrorists during operational activity in the Gaza City neighborhood of Shejaia, IDF spokesperson Daniel Hagari said on Friday evening. The three victims include Yotam Haim, who was abducted from Kfar Aza, Samer Talalka who was abducted from Nir Am, and Alon Shamriz, all of whom were kidnapped on October 7. The IDF said that following the incident, acting on a suspicion of the identities of the deceased, their bodies were brought back to Israel for examination where it was determined they had,... ","Three hostages held by Hamas killed by IDF, Israel says",https://www.foxnews.com/world/3-hostages-held-by-hamas-killed-by-idf-israel-says,Fox News Digital,Right,"
The Israel Defense Forces said Friday that its soldiers have mistakenly killed three hostages being held by Hamas in Gaza City. ""During combat in Shejaiya, the IDF mistakenly identified three Israeli hostages as a threat. As a result, the troops fired toward them and they were killed,"" the IDF said in a statement. ""During searches and checks in the area in which the incident occurred, a suspicion arose over the identities of the deceased,"" the IDF continued. ""Their bodies were transferred to Israeli territory for examination, after which it was confirmed that... "
2023-12-08,Housing and Homelessness,"High Costs, Low Supply: What's Causing the Housing Market Slump?",/story/housing-and-homelessness-high-costs-low-supply-whats-causing-housing-market-slump,"The housing market’s deep slump, in five charts",https://www.nbcnews.com/data-graphics/five-charts-explain-housing-market-slump-rcna126259,NBC News Digital,Lean Left,"
The U.S. housing market is slumping.  Home sales have dropped this year, as high prices, high borrowing costs and a low supply of available homes have combined to send potential buyers to the sidelines. Here are five charts that show the state of the housing market.  Falling home sales The annual rate of home sales in October was down almost 15% compared to the same period in 2022, according to data from the National Association of Realtors. October’s sales rate, a measure of how many homes would sell in a... ",The Price Is Wrong for Housing,https://www.wsj.com/economy/housing/the-price-is-wrong-for-housing-dff9d8bc?mod=housing_news_article_pos2,Wall Street Journal (News),Center,"
Lower rates would make U.S. houses more affordable, just not affordable enough. The pandemic set off a flurry of demand for housing. Americans’ newfound desire for space, the padding of U.S. household finances from government relief checks, and sub-3% mortgage rates were a potent mix that sent home prices skyward. Now the buying frenzy has passed and, with mortgage rates at their highest levels in over 20 years, not many homes are getting sold at all. Yet high home prices have proved more than sticky. On Tuesday, S&P Dow Jones... ","The State of the U.S. Housing Market, Explained",https://thedispatch.com/article/the-state-of-the-u-s-housing-market-explained/,The Dispatch,Lean Right,"
U.S. consumers have been pessimistic about the housing market all year and show no signs of changing their opinions. According to a national housing sentiment survey commissioned by Fannie Mae, only 14 percent of consumers say now is a good time to buy a home—a new low for the survey. But consumer sentiment is just one feature of a landscape where rising inflation and fluctuating interest rates intersect with global events and supply chain upheavals. How has the housing market changed since COVID-19? Before the COVID-19 pandemic, the U.S. housing... "
2023-12-05,Sexual Misconduct,"UN, Progressives Accused of Downplaying Hamas Rapes",/story/sexual-misconduct-un-progressives-accused-both-sidesism-hamas-rapes,Accounts of Sexual Violence by Hamas Are Aired Amid Criticism of U.N.,https://www.nytimes.com/2023/12/04/world/middleeast/israel-hamas-sexual-violence-un.html,New York Times (News),Lean Left,"
The body of one woman had “nails and different objects in her female organs.” In another house, a person’s genitals were so mutilated that “we couldn’t identify if it was a man or a woman.” Simcha Greinman, a volunteer who helped collect the remains of victims of the Hamas-led Oct. 7 assault on Israel, took long pauses as he spoke those words on Monday at an event at the United Nations. “Horrific things I saw with my own eyes,” he said, “and I felt with my own hands.” Shari Mendes,... ",Hamas planned sexual violence as weapon of war - Israeli campaigner,https://www.bbc.com/news/world-middle-east-67613153,BBC News,Center,"
Hamas had a premeditated plan to use sexual violence as a weapon of war, an Israeli women's rights campaigner and lawyer has said. Prof Ruth Halperin-Kaddari said she saw footage of women in several locations whose condition left her in ""no doubt"" that they had been raped. There has been anger over the delay of some UN bodies to acknowledge claims of Hamas's sexual atrocities on 7 October. Israel has been exploring evidence of sexual crimes during the attacks. Warning: This article contains graphic details which some readers may find... ",Hillary Clinton slams progressives ignoring Hamas horrors: 'No excuses',https://www.washingtonexaminer.com/policy/foreign/hillary-clinton-progressives-ignoring-hamas-sex-crimes,Washington Examiner,Lean Right,"
Former Secretary of State Hillary Clinton spoke out against groups and people ignoring allegations of sex crimes against women by Hamas in the conflict against Israel. Clinton forcefully condemned the actions against Israeli women, including rape, as a ""crime against humanity"" with ""no justifications and no excuses"" at a United Nations meeting on Monday, which she addressed via video. “As you well know, many women and girls were attacked brutally by Hamas on Oct. 7,” Clinton said to the U.N. meeting. “And they have testified to the gender-based violence that they both experienced and witnessed.... "
